Ticker,QuarterEnd,P/B,EPS,P/E,EV/EBITDA,PEG,Beta,ROE,ROA,Debt_to_Equity
FI,2025-06-30,3.437400782038437,1.8860294117647058,86.31360267802754,10.959,,0.908,0.03982455459379731,0.012584170438238217,1.1530489461631022
FI,2025-03-31,4.6295946992219905,1.5305755395683454,144.27906112581246,10.959,,0.908,0.032087779495494136,0.010584313823039228,1.0714151050111234
FI,2024-12-31,4.184673805074231,1.6631205673758864,123.5147963403893,10.959,,0.908,0.033879939319511665,0.012154037524619053,0.9013942064581377
FI,2024-09-30,3.6052704475230115,0.9894736842105263,181.56116404431933,10.959,,0.908,0.019857057353096504,0.007068377782233808,0.8940604865683203
FI,2024-06-30,2.988257562238468,1.5493934142114385,96.1924788882535,10.959,,0.908,0.031065397178400168,0.00956999261376409,0.8902286468830356
BEN,2025-06-30,0.7665263314712185,0.17805679043201902,119.87790836569764,9.794,,1.491,0.006394225107205454,0.0028354458377621173,0.9176440432562747
BEN,2025-03-31,0.6572796320550818,0.28815911925783,65.89293431527102,9.794,,1.491,0.009974963763341678,0.0047327585667931655,0.8692054289102649
BEN,2024-12-31,0.672266797604948,0.3122328682963839,63.03405253802336,9.794,,1.491,0.01066513686708345,0.0050509416486569925,0.8329563159644582
BEN,2024-09-30,0.6917667632016273,-0.16176577237480183,-118.9544811414293,9.794,,1.491,-0.00581539053059431,-0.0026090036809438,0.8985293309897836
BEN,2024-06-30,0.7366119369319918,0.333295028667893,63.08361561493324,9.794,,1.491,0.011676755204209001,0.005232311629263658,0.9159072301931362
GPN,2025-06-30,0.7802654425254935,0.9965524128233464,75.62926877063082,8.334,,0.939,0.010316977212775786,0.004980367286629371,0.7107621092659426
GPN,2025-03-31,1.0401529122734956,1.2460548531658928,78.33304984006914,8.334,,0.939,0.013278595872331704,0.006420810639156423,0.734988831280389
GPN,2024-12-31,1.2037401103641323,2.2804692645919356,48.84923101202534,8.334,,0.939,0.024641945951366248,0.012095754224411875,0.7305772837452258
GPN,2024-09-30,1.094269607720463,1.2386911916346055,82.01894573563101,8.334,,0.939,0.01334166878037651,0.006304284743010746,0.7433129820226914
GPN,2024-06-30,1.0510036693404068,1.4733827775211468,64.95450591787801,8.334,,0.939,0.016180612175992697,0.007384119508770445,0.7852408431188704
GL,2025-06-30,1.8606505788331245,3.04806319630204,39.89302155978487,9.106,,0.557,0.046641004017324135,0.008478850325743454,0.5148858744092577
GL,2025-03-31,2.0045933089932606,3.069939392204267,42.723226125183075,9.106,,0.557,0.0469204573437318,0.008569627351170377,0.5164278647019879
GL,2024-12-31,1.7538583386501185,3.038859175331907,36.46268159718404,9.106,,0.557,0.048100091979674,0.008776806004887644,0.5163776594942626
GL,2024-09-30,1.9074760457989497,3.5952891097450035,29.202116454266925,9.106,,0.557,0.06531978765259101,0.010251238123722375,0.5952397531596109
GL,2024-06-30,1.4007752853434376,2.869277216014244,28.34436570244546,9.106,,0.557,0.049419884715309864,0.009129537126054011,0.4370905746521355
GS,2025-06-30,1.4653717393027113,12.293181664550817,48.84415024456333,,,1.37,0.030000966993295512,0.0020857037695608256,3.005552153171738
GS,2025-03-31,1.3453008942664035,15.401689720744546,35.29356292893921,,,1.37,0.038117457763475464,0.0026826242610468575,2.902172164119067
GS,2024-12-31,1.4437429806258777,13.233384614871554,42.84380166977245,,,1.37,0.033697826158234696,0.002452904941132668,2.8079199318010426
GS,2024-09-30,1.2645582568975045,9.5165087747367,51.25901696855436,,,1.37,0.02466996699669967,0.0017302439701865654,2.8985478547854786
GS,2024-06-30,1.1724862477637517,9.624785745722042,46.029814201972094,,,1.37,0.025472321974167735,0.0018405468293057636,2.817993855838209
HIG,2025-06-30,2.083789335585563,3.52492935076211,36.68725787013858,8.324,,0.667,0.05679872131521863,0.011896364136347875,0.24940061650873388
HIG,2025-03-31,2.085887285783737,2.2097170631272043,55.76934197101789,8.324,,0.667,0.0374020422702446,0.007654269989186825,0.2593208264070292
HIG,2024-12-31,1.8966931348493108,2.9663764016932688,36.57082296467364,8.324,,0.667,0.05186356174378306,0.01054166615173573,0.2654587462759166
HIG,2024-09-30,1.9857241548954783,2.637398788660961,44.03285062120247,8.324,,0.667,0.0450964252116651,0.009443603097797314,0.2566439322671684
HIG,2024-06-30,1.8538345266896248,2.5102957757358353,39.387703764896095,8.324,,0.667,0.04706632653061225,0.009336335804468285,0.2783163265306122
HBAN,2025-06-30,1.0765826633197053,0.3674252704744575,42.119288152638475,,,0.958,0.025560324272770624,0.0025801234223219185,0.8541726275631855
HBAN,2025-03-31,1.0568613342037563,0.3617488990362742,41.08322825900977,,,0.958,0.025724885287513422,0.0025143609610870435,0.9093039148686908
HBAN,2024-12-31,1.1714467209610522,0.3646030159126329,43.72369629066327,,,0.958,0.026792033161459915,0.002595113352592665,0.8306035790112223
